Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
7015;;OUI;;41;6;4;2;OUI;OUI;2026-09-26T01:59:35+02:00;;;;
23009;;OUI;;37;13;7;6;OUI;OUI;2026-09-26T01:56:52+02:00;;;;
16121;;OUI;;17;16;15;1;OUI;OUI;2026-09-26T01:59:32+02:00;;;;
23001;;OUI;;30;8;4;4;OUI;OUI;2026-09-26T01:57:24+02:00;;;;
15010;;OUI;;36;23;19;4;OUI;OUI;2026-09-26T01:56:03+02:00;;;;
41102;;OUI;;36;7;5;2;OUI;OUI;2026-09-26T01:59:18+02:00;;;;
17037;;OUI;;7;15;12;3;OUI;OUI;2026-09-26T01:57:53+02:00;;;;
18141;;OUI;;13;5;1;4;OUI;OUI;2026-09-26T01:58:54+02:00;;;;
5007;;OUI;;33;2;2;0;OUI;OUI;2026-09-26T01:57:13+02:00;;;;
33003;;OUI;;18;27;10;17;OUI;OUI;2026-09-26T01:59:14+02:00;;;;
33009;;OUI;;10;21;7;14;OUI;OUI;2026-09-26T01:58:49+02:00;;;;
15033;;OUI;;16;29;25;4;OUI;OUI;2026-09-26T01:57:26+02:00;;;;
13045;;OUI;;20;15;6;9;OUI;OUI;2026-09-26T01:57:07+02:00;;;;
19115;;OUI;;18;6;4;2;OUI;OUI;2026-09-26T01:59:18+02:00;;;;
14034;;OUI;;24;17;11;6;OUI;OUI;2026-09-26T01:58:25+02:00;;;;
32010;;OUI;;37;2;0;2;OUI;OUI;2026-09-26T01:58:58+02:00;;;;
16018;;OUI;;2;14;13;1;OUI;OUI;2026-09-26T01:57:19+02:00;;;;
12034;;OUI;;22;27;26;1;OUI;OUI;2026-09-26T01:58:06+02:00;;;;
25008;;OUI;;16;2;0;2;OUI;OUI;2026-09-26T01:54:01+02:00;;;;
19044;;OUI;;36;13;7;6;OUI;OUI;2026-09-26T01:59:34+02:00;;;;
24002;;OUI;;31;3;0;3;OUI;OUI;2026-09-26T01:59:22+02:00;;;;
16034;;OUI;;20;11;6;5;OUI;OUI;2026-09-26T01:56:17+02:00;;;;
11036;;OUI;;4;50;50;0;OUI;OUI;2026-09-26T01:58:38+02:00;;;;
7009;;OUI;;62;13;11;2;OUI;OUI;2026-09-26T01:56:18+02:00;;;;
8033;;OUI;;33;9;5;4;OUI;OUI;2026-09-26T01:59:26+02:00;;;;
14117;;OUI;;10;31;11;20;OUI;OUI;2026-09-26T01:58:44+02:00;;;;
42707;;OUI;;20;4;0;4;OUI;OUI;2026-09-26T01:58:18+02:00;;;;
92003;;OUI;;7;17;4;13;OUI;OUI;2026-09-26T01:58:02+02:00;;;;
5119;;OUI;;37;2;2;0;OUI;OUI;2026-09-26T01:58:47+02:00;;;;
21502;;NON;;0;0;0;0;NON;NON;2026-07-20T09:18:53+02:00;;;;
27002;;OUI;;2;27;22;5;OUI;OUI;2026-09-26T01:58:31+02:00;;;;
23701;;OUI;;13;11;1;10;OUI;OUI;2026-09-26T01:58:14+02:00;;;;
17007;;OUI;;23;31;11;20;OUI;OUI;2026-09-26T01:58:39+02:00;;;;
31012;;OUI;;4;20;7;13;OUI;OUI;2026-09-26T01:58:30+02:00;;;;
20113;;OUI;;20;1;0;1;OUI;OUI;2026-09-26T01:51:31+02:00;;;;
12126;;OUI;;27;22;0;22;OUI;OUI;2026-09-26T01:59:17+02:00;;;;
20036;;OUI;;19;10;0;10;OUI;OUI;2026-09-26T01:55:34+02:00;;;;
6104;;OUI;;56;0;0;0;OUI;OUI;2026-09-26T01:50:01+02:00;;;;
15029;;OUI;;18;30;28;2;OUI;OUI;2026-09-26T01:57:49+02:00;;;;
8102;;OUI;;40;0;0;0;NON;NON;2026-09-26T01:56:29+02:00;;;;
15017;;OUI;;7;16;11;5;OUI;OUI;2026-09-26T01:58:26+02:00;;;;
18020;;OUI;;15;5;0;5;OUI;OUI;2026-09-26T01:54:26+02:00;;;;
31702;;OUI;;10;7;0;7;OUI;OUI;2026-09-26T01:57:31+02:00;;;;
7004;;OUI;;15;2;0;2;OUI;OUI;2026-09-26T01:57:03+02:00;;;;
42503;;OUI;;21;10;2;8;OUI;OUI;2026-09-26T01:57:37+02:00;;;;
21111;;OUI;;26;24;16;8;OUI;OUI;2026-09-26T01:58:49+02:00;;;;
7014;;OUI;;37;5;1;4;OUI;OUI;2026-09-26T01:57:01+02:00;;;;
17106;;OUI;;18;3;3;0;OUI;OUI;2026-09-26T01:53:09+02:00;;;;
8012;;OUI;;46;1;0;1;OUI;OUI;2026-09-26T01:57:49+02:00;;;;
20040;;OUI;;23;3;1;2;OUI;OUI;2026-09-26T01:49:41+02:00;;;;
17017;;OUI;;28;5;1;4;OUI;OUI;2026-09-26T01:58:18+02:00;;;;
34002;;OUI;;15;10;4;6;OUI;OUI;2026-09-26T01:59:10+02:00;;;;
13026;;OUI;;22;13;4;9;OUI;OUI;2026-09-26T01:56:07+02:00;;;;
